  1361 =       6.3.1.2.1
  1367 =       6.3.2.2.1
  1373 =       6.3.3.2.1
  1381 =       6.4.0.0.1
  1399 =       6.4.3.0.1
  1409 =       6.4.4.2.1
  1423 =       6.5.2.0.1
  1427 =       6.5.2.2.1
  1429 =       6.5.3.0.1
  1433 =       6.5.3.2.1
  1439 =       6.5.4.2.1
  1447 =       6.6.1.0.1
  1451 =       6.6.1.2.1
  1453 =       6.6.2.0.1
  1459 =       6.6.3.0.1
  1471 =       7.0.0.0.1
  1481 =       7.0.1.2.1
  1483 =       7.0.2.0.1
  1487 =       7.0.2.2.1
  1489 =       7.0.3.0.1
  1493 =       7.0.3.2.1
  1499 =       7.0.4.2.1
  1511 =       7.1.1.2.1
  1523 =       7.1.3.2.1
  1531 =       7.2.0.0.1
  1543 =       7.2.2.0.1
  1549 =       7.2.3.0.1
  1553 =       7.2.3.2.1
  1559 =       7.2.4.2.1
  1567 =       7.3.1.0.1
  1571 =       7.3.1.2.1
  1579 =       7.3.3.0.1
  1583 =       7.3.3.2.1
  1597 =       7.4.1.0.1
  1601 =       7.4.1.2.1
  1607 =       7.4.2.2.1
  1609 =       7.4.3.0.1
  1613 =       7.4.3.2.1
  1619 =       7.4.4.2.1
  1621 =       7.5.0.0.1
  1627 =       7.5.1.0.1
  1637 =       7.5.2.2.1
  1657 =       7.6.1.0.1
  1663 =       7.6.2.0.1
  1667 =       7.6.2.2.1
  1669 =       7.6.3.0.1
  1693 =       8.0.2.0.1
  1697 =       8.0.2.2.1
  1699 =       8.0.3.0.1
  1709 =       8.0.4.2.1
  1721 =       8.1.1.2.1
  1723 =       8.1.2.0.1
  1733 =       8.1.3.2.1
  1741 =       8.2.0.0.1
  1747 =       8.2.1.0.1
  1753 =       8.2.2.0.1
  1759 =       8.2.3.0.1
  1777 =       8.3.1.0.1
  1783 =       8.3.2.0.1
  1787 =       8.3.2.2.1
  1789 =       8.3.3.0.1
  1801 =       8.4.0.0.1
  1811 =       8.4.1.2.1
  1823 =       8.4.3.2.1
  1831 =       8.5.0.0.1
  1847 =       8.5.2.2.1
  1861 =       8.6.0.0.1
  1867 =       8.6.1.0.1
  1871 =       8.6.1.2.1
  1873 =       8.6.2.0.1
  1877 =       8.6.2.2.1
  1879 =       8.6.3.0.1
  1889 =       8.6.4.2.1
  1901 =       9.0.1.2.1
  1907 =       9.0.2.2.1
  1913 =       9.0.3.2.1
  1931 =       9.1.1.2.1
  1933 =       9.1.2.0.1
  1949 =       9.1.4.2.1
  1951 =       9.2.0.0.1
  1973 =       9.2.3.2.1
  1979 =       9.2.4.2.1
  1987 =       9.3.1.0.1
  1993 =       9.3.2.0.1
  1997 =       9.3.2.2.1
  1999 =       9.3.3.0.1
  2003 =       9.3.3.2.1
  2011 =       9.4.0.0.1
  2017 =       9.4.1.0.1
  2027 =       9.4.2.2.1
  2029 =       9.4.3.0.1
  2039 =       9.4.4.2.1
  2053 =       9.5.2.0.1
  2063 =       9.5.3.2.1
  2069 =       9.5.4.2.1
  2081 =       9.6.1.2.1
  2083 =       9.6.2.0.1
  2087 =       9.6.2.2.1
  2089 =       9.6.3.0.1
  2099 =       9.6.4.2.1
  2111 =      10.0.1.2.1
  2113 =      10.0.2.0.1
  2129 =      10.0.4.2.1
  2131 =      10.1.0.0.1
  2137 =      10.1.1.0.1
  2141 =      10.1.1.2.1
  2143 =      10.1.2.0.1
  2153 =      10.1.3.2.1
  2161 =      10.2.0.0.1
  2179 =      10.2.3.0.1
  2203 =      10.3.2.0.1
  2207 =      10.3.2.2.1
  2213 =      10.3.3.2.1
  2221 =      10.4.0.0.1
  2237 =      10.4.2.2.1
  2239 =      10.4.3.0.1
  2243 =      10.4.3.2.1
  2251 =      10.5.0.0.1
  2267 =      10.5.2.2.1
  2269 =      10.5.3.0.1
  2273 =      10.5.3.2.1
  2281 =      10.6.0.0.1
  2287 =      10.6.1.0.1
  2293 =      10.6.2.0.1
  2297 =      10.6.2.2.1
  2309 =      10.6.4.2.1
  2311 =     1.0.0.0.0.1
  2333 =     1.0.0.3.2.1
  2339 =     1.0.0.4.2.1
  2341 =     1.0.1.0.0.1
  2347 =     1.0.1.1.0.1
  2351 =     1.0.1.1.2.1
  2357 =     1.0.1.2.2.1
  2371 =     1.0.2.0.0.1
  2377 =     1.0.2.1.0.1
  2381 =     1.0.2.1.2.1
  2383 =     1.0.2.2.0.1
  2389 =     1.0.2.3.0.1
  2393 =     1.0.2.3.2.1
  2399 =     1.0.2.4.2.1
  2411 =     1.0.3.1.2.1
  2417 =     1.0.3.2.2.1
  2423 =     1.0.3.3.2.1
  2437 =     1.0.4.1.0.1
  2441 =     1.0.4.1.2.1
  2447 =     1.0.4.2.2.1
  2459 =     1.0.4.4.2.1
  2467 =     1.0.5.1.0.1
  2473 =     1.0.5.2.0.1
  2477 =     1.0.5.2.2.1
  2503 =     1.0.6.2.0.1
  2521 =     1.1.0.0.0.1
  2531 =     1.1.0.1.2.1
  2539 =     1.1.0.3.0.1
  2543 =     1.1.0.3.2.1
  2549 =     1.1.0.4.2.1
  2551 =     1.1.1.0.0.1
  2557 =     1.1.1.1.0.1
  2579 =     1.1.1.4.2.1
  2591 =     1.1.2.1.2.1
  2593 =     1.1.2.2.0.1
  2609 =     1.1.2.4.2.1
  2617 =     1.1.3.1.0.1
  2621 =     1.1.3.1.2.1
  2633 =     1.1.3.3.2.1
  2647 =     1.1.4.1.0.1
  2657 =     1.1.4.2.2.1
  2659 =     1.1.4.3.0.1
  2663 =     1.1.4.3.2.1
  2671 =     1.1.5.0.0.1
  2677 =     1.1.5.1.0.1
  2683 =     1.1.5.2.0.1
  2687 =     1.1.5.2.2.1
  2689 =     1.1.5.3.0.1
  2693 =     1.1.5.3.2.1
  2699 =     1.1.5.4.2.1
  2707 =     1.1.6.1.0.1
  2711 =     1.1.6.1.2.1
  2713 =     1.1.6.2.0.1
  2719 =     1.1.6.3.0.1
  2729 =     1.1.6.4.2.1
  2731 =     1.2.0.0.0.1
  2741 =     1.2.0.1.2.1
  2749 =     1.2.0.3.0.1
  2753 =     1.2.0.3.2.1
  2767 =     1.2.1.1.0.1
  2777 =     1.2.1.2.2.1
  2789 =     1.2.1.4.2.1
  2791 =     1.2.2.0.0.1
  2797 =     1.2.2.1.0.1
  2801 =     1.2.2.1.2.1
  2803 =     1.2.2.2.0.1
  2819 =     1.2.2.4.2.1
  2833 =     1.2.3.2.0.1
  2837 =     1.2.3.2.2.1
  2843 =     1.2.3.3.2.1
  2851 =     1.2.4.0.0.1
  2857 =     1.2.4.1.0.1
  2861 =     1.2.4.1.2.1
  2879 =     1.2.4.4.2.1
  2887 =     1.2.5.1.0.1
  2897 =     1.2.5.2.2.1
  2903 =     1.2.5.3.2.1
  2909 =     1.2.5.4.2.1
  2917 =     1.2.6.1.0.1
  2927 =     1.2.6.2.2.1
  2939 =     1.2.6.4.2.1
  2953 =     1.3.0.2.0.1
  2957 =     1.3.0.2.2.1
  2963 =     1.3.0.3.2.1
